PopNum,NewSiteCode,Latitude,Longitude,range,ecoregion,region,countryORstate,Ann.Mean.Tmp,Mean.Diurn.Rng,Isotherm,Tmp.Seas,Max.Tmp.Wrm.M,Min.Tmp.Cld.M,Tmp.Ann.Rng,Mean.Tmp.Wet.Q,Mean.Tmp.Dry.Q,Mean.Tmp.Wrm.Q,Mean.Tmp.Cld.Q,Ann.Prc,Prc.Wet.M,Prc.Dry.M,Prc.Seas,Prc.Wet.Q,Prc.Dry.Q,Prc.Wrm.Q,Prc.Cld.Q,cmi_max,cmi_mean,cmi_min,cmi_range,gdd0,gdd5,gdd10,gddlgd10,gdgfgd10,gsl,gsp,gst,hurs_max,hurs_mean,hurs_min,hurs_range,ngd0,ngd5,ngd10,npp,pet_penman_max,pet_penman_mean,pet_penman_min,pet_penman_range,rsds_max,rsds_mean,rsds_min,rsds_range,scd,sfcWind_max,sfcWind_mean,sfcWind_min,sfcWind_range,vpd_max,vpd_mean,vpd_min,vpd_range,elev
80,PI 203453,38.86187,33.426305,native,BLACK_SEA_FORESTS_AND_STEPPE,mediterranean,Turkey,2865,72,2.50999999,7902,3014,2727,287,2785,2964,2966,2766,4038,581,49,473,1516,288,447,1383,298,-684,-1933,2231,49081,32225,19838,313,97,256,4038,2829,6161,5351,4654,1507,365,281,217,6832,20210,10065,2538,17672,27745,17831,7108,20637,0,3610,3166,2855,755,16559,8440,2929,13630,922
81,PI 204412,39.687362,32.914832,native,BLACK_SEA_FORESTS_AND_STEPPE,mediterranean,Turkey,2838,112,3.339999914,8187,3011,2676,335,2826,2940,2943,2733,5606,729,167,371,1941,620,874,1577,315,-519,-1702,2017,39166,25327,14529,297,109,206,4231,2852,6152,5287,4619,1533,319,243,189,9044,19068,9686,2610,16457,26821,16751,6214,20607,74,3925,3518,3178,747,14696,7254,2270,12426,1346
83,PI 204416,39.491482,33.572392,native,BLACK_SEA_FORESTS_AND_STEPPE,mediterranean,Turkey,2857,118,3.49000001,8400,3032,2694,338,2848,2960,2966,2750,4994,701,98,462,1777,411,584,1545,351,-584,-1769,2120,45981,30523,18815,304,96,250,4994,2816,6161,5188,4440,1721,365,263,209,8207,19043,9845,2665,16379,27181,17491,7010,20171,0,3208,2722,2449,759,17113,8477,2614,14499,993
84,PI 206417,40.244002,42.280745,native,BLACK_SEA_FORESTS_AND_STEPPE,middleE,Turkey,2793,117,3.059999943,8921,2973,2592,381,2835,2673,2901,2673,4886,747,231,385,1917,795,1273,795,61,-423,-1116,1177,28141,16872,7966,282,132,168,3213,2854,6508,5857,5265,1243,249,203,151,8056,15386,8170,2175,13212,24668,16966,7745,16923,147,2366,2099,1842,524,9497,4797,1249,8248,1870
85,PI 211003,37.10115,70.55541,native,ARID_ASIA,middleE,Afghanistan,2854,122,3.309999943,8899,3018,2651,367,2856,2955,2961,2732,3267,664,29,736,1653,111,205,995,-81,-641,-1464,1384,45279,30998,19128,305,92,124,2155,2849,5412,5130,4824,588,316,260,214,5660,15143,9018,3253,11891,26086,18738,9661,16425,75,1078,899,804,275,15157,8101,2680,12477,1247
86,PI 219992,31.794902,64.584156,native,ARID_ASIA,middleE,Afghanistan,2947,141,3.529999971,9664,3144,2746,398,2841,3002,3070,2820,1901,560,0,1226,1394,10,25,1097,-135,-1259,-2317,2183,78962,60712,43602,345,47,73,1850,2838,5331,3974,3013,2318,365,365,299,3437,23280,14113,5200,18081,29515,21314,11793,17722,0,3448,2821,2245,1203,38818,19232,4854,33964,832
87,PI 219993,31.501234,64.35863,native,ARID_ASIA,middleE,Afghanistan,2952,145,3.650000095,9481,3149,2752,397,2850,3051,3072,2827,1461,406,0,1219,1073,7,20,875,-231,-1248,-2180,1949,80808,62558,45027,348,41,53,1420,2842,5344,4006,3075,2269,365,365,308,2678,21853,13642,5204,16648,29406,21627,12360,17046,0,2973,2464,1908,1065,39072,19541,5065,34007,759
88,PI 219996,31.397403,65.925389,native,ARID_ASIA,middleE,Afghanistan,2936,145,3.700000048,9350,3128,2737,391,2832,2991,3054,2813,2380,619,1,1099,1585,31,55,1301,-53,-1128,-2114,2061,74728,56478,39880,341,53,92,2277,2831,5568,4215,3162,2406,365,365,289,4239,21438,13181,4850,16588,29556,21579,12334,17222,0,2828,2301,1742,1086,33272,17097,4390,28882,1031
89,PI 220000,32.164835,63.429217,native,ARID_ASIA,middleE,Afghanistan,2950,142,3.599999905,9374,3146,2752,394,2847,3051,3069,2827,1751,524,1,1234,1290,7,14,994,-233,-1362,-2395,2162,79806,61556,44043,349,42,68,1705,2844,5135,3925,3057,2078,365,365,308,3180,23996,15024,6206,17790,29473,21379,11882,17591,0,3760,3371,2907,853,38801,19340,5269,33532,823
90,PI 220006,32.321767,65.117189,native,ARID_ASIA,middleE,Afghanistan,2935,130,3.349999905,9692,3127,2738,389,2825,2996,3058,2807,2585,742,1,1169,1814,22,47,1410,-134,-1430,-2727,2593,74377,56127,39986,341,57,112,2487,2829,5177,4143,3215,1962,365,365,285,4574,27515,16371,6420,21095,29568,21241,11661,17907,0,5366,4497,3601,1765,35124,17292,4559,30565,1004
91,PI 220007,31.850019,65.885393,native,ARID_ASIA,middleE,Afghanistan,2929,138,3.559999943,9404,3119,2733,386,2823,2987,3049,2806,2505,715,1,1141,1717,26,63,1328,-25,-1059,-2017,1992,72270,54020,38010,338,58,104,2392,2825,5231,4124,3225,2006,365,365,281,4444,20530,12592,4714,15816,29586,21328,11848,17738,0,2740,2330,1944,795,32941,16594,4456,28485,1132
92,PI 220010,31.940315,66.651757,native,ARID_ASIA,middleE,Afghanistan,2911,129,3.359999895,9477,3096,2712,384,2802,2973,3031,2786,3103,812,2,1103,2090,64,94,1698,65,-1109,-2180,2246,65766,47874,33360,330,68,147,2947,2822,5520,4281,3239,2281,365,322,263,5403,22112,13576,5142,16970,29727,21508,12103,17624,0,3562,3086,2561,1001,28738,14659,3634,25104,1440
93,PI 220575,33.751681,69.148685,native,ARID_ASIA,middleE,Afghanistan,2806,119,2.880000114,10344,2997,2583,414,2733,2822,2933,2666,6614,1302,142,604,3083,516,1403,2085,507,-516,-1486,1993,33351,21719,12298,283,117,128,2373,2899,5380,4562,3918,1462,254,211,167,10353,18805,10551,3431,15374,28908,20454,11069,17839,151,3905,3239,2703,1203,14688,7204,1606,13082,2849
94,PI 220576,34.926441,68.351308,native,ARID_ASIA,middleE,Afghanistan,2782,109,3,8608,2949,2587,362,2718,2879,2883,2663,4178,699,85,602,1850,319,509,1386,65,-675,-1535,1600,25204,14146,5649,275,134,124,1488,2859,6023,5406,4823,1200,244,197,142,7039,16732,10155,4208,12524,28684,22226,13067,15617,162,5984,4707,3905,2079,9185,4870,1364,7821,2702
95,PI 220578,34.964353,68.650521,native,ARID_ASIA,middleE,Afghanistan,2807,109,3.089999914,8387,2973,2621,352,2744,2902,2906,2692,4594,859,84,665,2202,307,450,1672,200,-586,-1525,1726,31397,19151,9324,289,121,126,1556,2868,5945,5311,4627,1318,268,222,169,7642,16441,9579,3556,12885,28364,20150,10025,18339,142,4791,3802,3229,1562,11075,5855,1773,9302,2262
96,PI 220581,34.381668,62.191648,native,ARID_ASIA,middleE,Afghanistan,2895,138,3.819999933,8335,3079,2718,361,2801,3003,3003,2786,3464,875,0,1073,2236,7,7,1858,208,-1002,-2416,2623,59930,41908,27606,326,72,169,3426,2829,5519,4731,3959,1560,365,325,255,5965,24162,12802,4450,19711,29320,20597,10791,18529,0,5905,3702,2567,3338,23241,11660,3725,19516,1062
97,PI 220583,33.891078,68.659638,native,ARID_ASIA,middleE,Afghanistan,2818,141,3.210000038,10624,3013,2574,439,2742,2843,2943,2670,5084,1087,68,699,2541,367,702,1797,289,-606,-1539,1828,37252,24972,14647,294,111,105,1723,2893,5676,4819,3986,1690,263,228,184,8332,17519,10191,3419,14100,29250,21060,11467,17783,139,2412,2186,1888,523,15520,7598,1473,14047,2269
98,PI 221921,34.905863,68.257185,native,ARID_ASIA,middleE,Afghanistan,2760,109,2.940000057,8862,2931,2561,370,2755,2861,2865,2638,4641,757,94,592,2046,358,585,1488,199,-547,-1459,1658,20604,10635,3333,263,149,124,1110,2850,5993,5382,4797,1196,224,173,115,7709,16140,9266,3390,12750,29026,21569,11722,17304,185,6856,5400,4474,2381,8276,4291,1126,7150,2928
100,PI 227297,29.272638,52.664414,native,ARID_ASIA,middleE,Iran,2922,108,3.119999886,8620,3098,2750,348,2811,3031,3031,2811,4430,1169,2,1133,2933,24,24,2933,573,-805,-1772,2345,69581,51331,34936,343,61,197,4401,2863,5729,4636,3684,2045,365,365,283,7406,17799,11630,4984,12815,28956,21619,12829,16127,0,2315,2008,1712,603,27701,14183,4126,23575,1504
101,PI 227356,29.719026,52.590891,native,ARID_ASIA,middleE,Iran,2886,145,3.829999924,8529,3081,2703,378,2777,2996,2996,2777,5544,1396,2,1113,3641,19,19,3641,885,-657,-1789,2674,56528,39014,25434,321,84,211,5523,2836,5342,4141,3042,2300,365,309,238,8961,17942,11082,4159,13782,29203,21068,11705,17498,0,2650,2261,1894,756,25035,12484,3544,21491,1861
102,PI 228397,35.333805,47.232082,native,ARID_ASIA,middleE,Iran,2833,133,3.079999924,10331,3053,2621,432,2758,2958,2964,2697,5297,936,9,761,2517,54,79,1840,272,-643,-1931,2203,40452,27694,17119,299,111,134,2181,2863,6118,4875,3735,2383,278,233,189,8626,19564,10692,3356,16208,29099,19954,9695,19404,124,3462,3016,2391,1071,19371,8624,1680,17691,1942
103,PI 229485,35.689036,51.388361,native,ARID_ASIA,middleE,Iran,2893,110,2.710000038,10718,3085,2680,405,2817,3020,3028,2752,3908,714,26,744,1823,96,116,1630,291,-549,-1470,1761,59144,43460,30605,320,85,177,3325,2827,5183,4533,3738,1445,365,279,236,6639,15105,8641,2403,12702,27919,19630,9998,17921,0,1310,1099,899,411,28214,12968,3138,25076,1192
104,PI 245733,39.553285,33.123888,native,BLACK_SEA_FORESTS_AND_STEPPE,mediterranean,Turkey,2838,115,3.410000086,8259,3012,2675,337,2827,2940,2944,2732,5067,681,134,396,1758,532,735,1464,289,-580,-1758,2047,39246,25466,14673,297,108,193,3749,2849,6097,5232,4542,1555,317,243,190,8309,19257,9858,2741,16516,27147,17246,6717,20430,74,4018,3521,3191,826,14928,7367,2305,12623,1315
105,PI 251216,34.228869,70.193233,native,ARID_ASIA,middleE,Afghanistan,2904,98,3.029999971,8086,3052,2728,324,2850,2860,3002,2795,7009,1175,230,467,2912,849,1643,1670,176,-526,-1484,1660,63151,44925,29910,335,68,250,7009,2882,5644,4971,4342,1302,365,347,268,10844,18330,10966,4436,13894,28017,19877,11481,16536,0,2093,1757,1564,529,20183,11063,4409,15774,1300
107,PI 317421,34.439337,63.114106,native,ARID_ASIA,middleE,Afghanistan,2834,125,3.339999914,8619,3007,2631,376,2724,2923,2935,2712,5090,1197,2,947,2924,26,36,2351,355,-773,-2127,2482,39593,25940,14401,302,98,129,1880,2867,6317,5224,4387,1930,294,253,205,8341,21316,11847,4357,16958,29276,21096,11786,17490,105,6453,4331,3315,3138,14153,7333,1778,12375,1804
108,PI 362116,43.557597,21.691519,native,EUROPEAN_MOUNTAIN_MIXED_FORESTS,europe,Serbia,2855,101,3.049999952,8492,3022,2690,332,2908,2764,2962,2743,5776,592,370,139,1686,1191,1483,1270,259,-399,-1186,1445,45369,30584,18722,301,90,236,5025,2858,6368,5792,5343,1025,350,262,212,9271,16313,8633,2335,13978,22068,14077,5096,16972,41,3555,3151,2921,634,13795,7182,2295,11500,170
109,PI 380765,33.665202,48.786339,native,ARID_ASIA,middleE,Iran,2793,125,3.00999999,10093,2999,2585,414,2717,2916,2921,2662,7499,1494,5,828,3620,31,54,3133,714,-653,-2452,3166,29637,18708,10109,282,134,99,1317,2869,5592,4600,3380,2212,242,195,149,10746,24610,12521,3866,20744,29411,20326,10463,18948,176,9114,8197,6957,2157,15663,6881,1480,14183,2300
110,PI 392358,41.2,69.9,native,ARID_ASIA,middleE,Uzbekistan,2791,112,3.160000086,8944,2969,2614,355,2736,2892,2906,2674,12096,1844,113,593,5166,587,782,4130,1237,236,-1330,2567,27548,16547,8010,270,126,151,2911,2865,5493,5055,4656,837,244,196,145,10583,15545,7398,1563,13981,26218,15864,5443,20775,183,1668,1543,1464,204,11384,5553,1787,9597,1974
111,PI 483443,41.878003,-93.097702,invaded,GREAT_PLAINS,Erockies,Iowa,2826,97,2.519999981,10432,3015,2628,387,2934,2683,2954,2683,9471,1375,229,489,3798,839,3737,839,139,-167,-615,754,38947,26479,16030,293,106,238,8092,2891,6347,5877,5492,855,269,230,188,13576,17871,9356,2502,15370,22986,15069,6383,16603,119,5203,4580,3619,1585,11730,6077,1463,10267,295
112,AAFC2,49.94,-119.51,invaded,NORTHAMERICAN_DESERTS,Wrockies,British_Columbia,2822,87,2.769999981,7738,2990,2675,315,2734,2772,2920,2722,4347,487,262,214,1366,859,880,1232,301,-449,-1296,1597,33998,20906,10954,290,120,198,2876,2851,6767,5794,5083,1684,296,230,171,7286,15736,7980,1704,14032,24719,15277,4769,19950,108,2731,2628,2497,234,11614,5765,1819,9795,463
113,AAFC4,50.08,-120.65,invaded,NORTHAMERICAN_DESERTS,Wrockies,British_Columbia,2775,104,3.150000095,7391,2956,2627,329,2719,2733,2872,2683,3262,397,163,273,1042,544,861,860,224,-482,-1281,1505,21145,11026,3888,261,150,135,1712,2834,6588,5796,5254,1334,237,171,112,5652,15325,7431,1555,13771,24146,14073,3419,20727,172,4364,4022,3629,736,8196,4160,1341,6855,1148
114,AAFC5,50.09,-120.45,invaded,NORTHAMERICAN_DESERTS,Wrockies,British_Columbia,2775,103,3.150000095,7390,2954,2627,327,2849,2732,2871,2682,3629,475,195,271,1198,592,1071,868,189,-445,-1187,1376,20995,10904,3777,260,150,145,2037,2836,6425,5755,5216,1209,235,171,111,6218,15033,7351,1748,13285,23893,13805,3353,20540,172,4822,4507,4133,689,8197,4167,1401,6796,1175
115,AAFC6,50.09,-120.75,invaded,NORTHAMERICAN_DESERTS,Wrockies,British_Columbia,2801,103,3.079999924,7633,2983,2647,336,2742,2759,2900,2704,2918,364,144,276,966,495,740,784,239,-440,-1239,1478,27931,16091,7478,274,130,138,1801,2827,6642,5836,5316,1326,270,202,145,5111,14547,6737,1076,13470,23220,12926,2430,20790,130,3278,2992,2666,612,9660,4918,1531,8129,862
116,AAFC8,49.57,-120.55,invaded,NORTHAMERICAN_DESERTS,Wrockies,British_Columbia,2800,102,3.269999981,6756,2976,2663,313,2722,2887,2890,2719,5741,758,311,322,2172,1007,1161,1941,632,-231,-1106,1738,26558,14583,6242,273,138,187,2942,2845,6866,5950,5420,1446,283,199,136,9225,14292,6935,994,13298,24233,14610,3996,20237,145,2034,1946,1813,221,8879,4657,1601,7278,921
117,AAFC9,49.62,-119.8,invaded,NORTHAMERICAN_DESERTS,Wrockies,British_Columbia,2801,93,2.940000057,7582,2978,2661,317,2713,2755,2900,2707,4139,463,237,210,1259,798,1061,1162,300,-406,-1232,1533,27850,16157,7568,277,133,172,2445,2847,6680,5803,5188,1492,267,200,145,6981,15256,7397,1361,13894,24389,14517,3956,20433,145,3048,2944,2785,263,9948,4984,1595,8353,853
118,AAFC10,49.71,-120.05,invaded,NORTHAMERICAN_DESERTS,Wrockies,British_Columbia,2790,98,3.069999933,7252,2971,2652,319,2862,2747,2886,2702,4636,565,253,238,1428,813,1340,1238,377,-316,-1052,1429,24493,13491,5642,269,142,176,2668,2848,6689,5880,5327,1362,256,185,128,7702,14393,6884,985,13408,24321,14632,3926,20395,162,2342,2203,2081,261,8867,4510,1513,7354,1161
119,Adler2,41.05,-112.25,invaded,NORTHAMERICAN_DESERTS,Wrockies,Utah,2844,55,1.600000024,10042,3025,2682,343,2832,2968,2974,2715,4599,589,151,311,1566,681,700,1134,167,-652,-1955,2122,42770,29678,18809,299,104,215,3112,2892,6092,5278,4555,1537,287,239,196,7649,21056,10229,2171,18885,28662,18120,6849,21813,109,4070,3427,2708,1362,18515,8104,1998,16517,1297
121,Adler5,40.79,-111.87,invaded,WESTERN_CORDILLERA,Wrockies,Utah,2828,117,3.049999952,9302,3039,2657,382,2817,2946,2952,2712,5691,678,205,290,1912,863,877,1428,233,-481,-1564,1798,37180,24417,14475,289,118,183,3577,2867,5813,5159,4321,1492,283,229,172,9158,17664,9386,2731,14933,28959,19370,8600,20359,121,1980,1841,1641,339,17035,7349,2118,14917,1574
122,Adler11,38.83,-112.05,invaded,NORTHAMERICAN_DESERTS,Wrockies,Utah,2823,144,3.589999914,9253,3037,2637,400,2894,2945,2945,2708,2569,309,160,204,748,544,544,551,-150,-855,-1665,1515,35562,23216,13698,288,122,96,1814,2825,6060,5212,4308,1752,276,216,167,4548,18317,10615,3579,14739,29042,20542,10820,18222,108,2682,2379,2143,539,16273,7092,1902,14371,1708
123,Adler13,41.44,-111.08,invaded,NORTHAMERICAN_DESERTS,Wrockies,Utah,2791,124,3.140000105,9703,3010,2616,394,2831,2670,2920,2670,2743,358,150,262,887,482,679,482,-79,-689,-1576,1497,28098,17579,9444,276,136,101,1755,2839,6280,5414,4449,1831,238,185,141,4830,17526,9104,2431,15096,28335,18814,8040,20295,154,3284,3103,2892,392,13716,5676,1401,12315,1948
124,Adler14,41.81,-111.25,invaded,NORTHAMERICAN_DESERTS,Wrockies,Utah,2774,113,2.980000019,9632,2985,2608,377,2811,2675,2903,2656,4449,546,270,192,1335,953,954,993,90,-566,-1632,1722,24068,14510,7192,269,147,143,2125,2865,6156,5295,4326,1830,216,169,123,7434,18941,9251,2464,16478,28000,18255,7546,20454,190,4616,4387,4086,530,12640,5187,1297,11343,2189
125,Adler16,41.78,-110.2,invaded,NORTHAMERICAN_DESERTS,Wrockies,Wyoming,2796,124,3.119999886,9812,3015,2619,396,2841,2671,2925,2671,2233,306,103,310,750,340,611,340,-123,-741,-1613,1490,29618,18638,10158,277,132,85,1637,2829,6037,5179,4277,1760,244,194,146,3995,17822,9218,2434,15388,28505,18663,7709,20796,143,4111,3766,3171,940,14574,6127,1508,13066,2015
126,Adler17,41.44,-110.11,invaded,NORTHAMERICAN_DESERTS,Wrockies,Wyoming,2791,135,3.309999943,9863,3013,2606,407,2837,2665,2921,2665,2252,295,109,269,734,376,584,376,-106,-710,-1555,1449,28537,17805,9551,275,134,80,1543,2827,5908,5087,4150,1758,240,189,142,4027,17195,8934,2408,14787,27776,18261,7832,19944,146,4463,4017,3346,1117,14486,6055,1506,12980,2036
127,Adler18,40.86,-114.22,invaded,NORTHAMERICAN_DESERTS,Wrockies,Nevada,2848,119,2.980000019,9675,3060,2660,400,2842,2724,2976,2724,1697,219,99,225,551,358,373,358,-153,-869,-1785,1632,43656,29942,18694,296,102,57,1339,2829,6037,4916,4003,2034,302,251,195,3088,18921,10071,2693,16227,29013,18940,7911,21102,75,3511,2933,2556,955,21011,8967,2221,18790,1443
128,Barnett1,43.48,-110.74,invaded,WESTERN_CORDILLERA,Wrockies,Wyoming,2773,116,3.329999924,8072,2972,2624,348,2680,2878,2881,2674,8149,929,471,212,2596,1512,1646,2421,736,-119,-1182,1918,21280,11508,4837,264,157,150,2813,2852,6588,5696,4837,1751,230,161,108,9166,16458,7769,1469,14989,27054,16383,5108,21946,211,3011,2787,2503,508,9872,4372,1268,8604,2023
129,Baughman2,43.05,-118.87,invaded,NORTHAMERICAN_DESERTS,Wrockies,Oregon,2831,116,3.230000019,8499,3040,2681,359,2863,2942,2944,2727,2738,393,80,396,942,281,429,758,62,-657,-1637,1699,37186,23903,13737,290,117,129,1929,2820,6087,5193,4215,1872,302,236,174,4822,17245,8748,2268,14977,28665,17335,5986,22679,92,3270,2917,2517,753,16776,7321,2225,14551,1307
130,Baughman3,42.81,-118.96,invaded,NORTHAMERICAN_DESERTS,Wrockies,Oregon,2822,117,3.220000029,8569,3032,2669,363,2809,2934,2936,2717,3435,485,100,399,1215,356,496,939,110,-632,-1652,1762,34598,21923,12321,287,123,140,2159,2834,6337,5236,4078,2259,284,223,165,5921,17496,9057,2548,14948,29131,18239,7075,22056,112,3359,3014,2582,777,16412,6994,1932,14480,1469
131,Baughman5,42.72,-120.08,invaded,NORTHAMERICAN_DESERTS,Wrockies,Oregon,2812,116,3.269999981,8357,3015,2659,356,2799,2921,2923,2710,3130,392,118,324,1036,415,501,835,42,-673,-1777,1819,31608,19486,10426,283,129,130,1910,2833,5868,5076,4060,1808,274,210,155,5446,19010,9211,2606,16403,28866,17547,6380,22486,127,4491,4038,3415,1076,15108,6607,2047,13061,1629
132,Blumenthal1,41.18,-104.9,invaded,GREAT_PLAINS,Erockies,Wyoming,2809,121,3.569999933,8046,3007,2667,340,2891,2712,2918,2712,3997,618,81,583,1786,300,1641,300,-282,-677,-1270,989,30121,18339,9593,278,130,126,3460,2834,5202,5079,4908,294,269,202,149,6771,18031,9985,3897,14134,26052,17885,8331,17721,118,6258,5076,3852,2407,12184,5985,2519,9665,1905
133,Blumenthal4,40.7,-106.24,invaded,WESTERN_CORDILLERA,Wrockies,Colorado,2756,132,3.599999905,8307,2961,2595,366,2839,2655,2867,2655,5165,565,291,212,1611,922,1517,922,73,-411,-1000,1074,18298,9593,3370,257,159,150,2519,2842,6226,5605,5085,1141,202,149,99,7931,15277,8275,2457,12820,27884,18673,8293,19591,207,4159,3834,3231,928,8450,3921,1218,7232,2485
135,Blumenthal7,41.54,-106.39,invaded,WESTERN_CORDILLERA,Wrockies,Wyoming,2765,111,3.140000105,8534,2969,2617,352,2798,2662,2881,2662,4848,658,242,254,1583,839,1271,839,121,-425,-1213,1334,20251,11284,4716,261,154,159,2267,2849,6046,5417,4710,1336,207,155,108,8003,16288,8143,1778,14510,27986,18491,7966,20020,201,3226,2733,2174,1052,10079,4437,1398,8681,2533
136,Blumenthal8,40.64,-104.56,invaded,GREAT_PLAINS,Erockies,Colorado,2831,139,3.710000038,8778,3041,2667,374,2921,2721,2947,2721,3557,588,70,605,1617,242,1478,242,-235,-703,-1308,1073,37364,24376,14190,288,112,88,3271,2850,5191,5048,4876,315,290,232,177,6108,17969,9886,3237,14732,26046,17762,8311,17735,86,4405,3653,3072,1333,14639,7091,2607,12032,1523
137,Blumenthal10,40.92,-102.52,invaded,GREAT_PLAINS,Erockies,Colorado,2835,130,3.450000048,9216,3048,2672,376,2931,2719,2957,2719,4342,719,81,630,2020,276,1907,276,-219,-663,-1267,1049,39229,26189,15810,290,110,110,4012,2858,5458,5296,5159,299,290,235,181,7279,18837,10111,3103,15734,25709,17353,7967,17742,88,4624,4080,3613,1011,14540,7057,2487,12053,1100
138,Board1,38.84,-117.57,invaded,NORTHAMERICAN_DESERTS,Wrockies,Nevada,2809,111,3.059999943,9079,3009,2646,363,2791,2926,2929,2697,2089,264,117,208,674,446,494,474,-102,-695,-1414,1313,31522,20015,11171,284,131,86,1378,2830,5523,4678,3711,1812,261,201,154,3754,15798,8640,2488,13310,29529,20113,9298,20231,132,2261,1963,1649,612,16468,7165,2067,14401,2217
139,Bradford1,35.23,-111.62,invaded,WESTERN_CORDILLERA,Wrockies,Arizona,2823,119,3.700000048,7661,2998,2676,322,2914,2862,2923,2727,5702,854,113,423,2156,611,1678,1614,114,-593,-1639,1753,34124,21038,11224,288,120,188,3561,2853,5288,4770,3774,1514,304,226,169,9173,17410,10515,3871,13539,29622,21219,12441,17181,107,2194,1782,1292,902,13311,7017,2730,10581,2268
140,Chambers1,39.55,-119.58,invaded,NORTHAMERICAN_DESERTS,Wrockies,Nevada,2850,120,3.299999952,8582,3052,2688,364,2743,2960,2962,2743,2076,287,58,448,822,222,247,822,-113,-937,-1937,1824,43386,28690,17431,301,107,113,1622,2790,6134,4971,3897,2237,353,257,195,3732,19939,11041,3622,16317,29659,20229,9256,20403,30,4174,3410,2681,1493,19359,8720,2479,16880,1415
141,Chambers2,39.95,-118.76,invaded,NORTHAMERICAN_DESERTS,Wrockies,Nevada,2865,124,3.25999999,9057,3068,2688,380,2859,2978,2984,2750,1485,197,30,354,485,173,219,435,-143,-931,-1896,1753,48757,33411,21110,302,86,60,1252,2808,5784,4541,3451,2333,365,273,217,2720,19253,10513,2853,16399,30062,19850,8533,21529,0,3481,2730,2066,1415,23810,10462,2786,21024,1303
142,Chambers4,41.31,-117.63,invaded,NORTHAMERICAN_DESERTS,Wrockies,Nevada,2841,122,3.069999933,9546,3057,2660,397,2731,2962,2967,2719,2200,301,42,435,803,201,229,765,32,-809,-1846,1877,41506,28056,17195,295,108,104,1232,2824,6599,5022,3735,2864,295,245,188,3940,18979,9858,2510,16469,29638,19041,7653,21985,93,3059,2575,1994,1065,20887,8633,1813,19074,1343
143,Chambers5,41.54,-117.75,invaded,NORTHAMERICAN_DESERTS,Wrockies,Nevada,2827,121,3.059999943,9504,3044,2648,396,2718,2947,2952,2706,2867,381,59,423,994,257,320,933,117,-720,-1807,1924,37444,24691,14618,290,117,121,1646,2836,6263,4902,3545,2718,279,231,174,5029,18739,9502,2406,16333,29627,18964,7828,21799,118,2483,2174,1787,696,19729,8065,1816,17913,1441
144,Chambers6,41.54,-117.78,invaded,NORTHAMERICAN_DESERTS,Wrockies,Nevada,2838,122,3.069999933,9476,3055,2659,396,2730,2958,2963,2718,2649,349,54,421,917,238,296,861,93,-740,-1809,1902,40565,27256,16563,294,110,118,1584,2830,6260,4953,3711,2549,293,242,185,4678,18698,9521,2349,16349,29489,18726,7419,22070,99,2559,2228,1816,744,20497,8500,1975,18522,1346
145,Chambers7,43.94,-116.19,invaded,WESTERN_CORDILLERA,Wrockies,Idaho,2838,129,3.349999905,8841,3051,2666,385,2734,2951,2954,2727,5115,772,92,510,2082,379,483,1967,555,-428,-1590,2146,39954,26371,15582,294,109,164,2870,2853,6261,5396,4481,1780,304,245,186,8375,16913,8385,1777,15136,28451,17402,6175,22276,104,1525,1378,1155,369,16489,7399,2080,14409,952
146,Chambers8,42.24,-114.57,invaded,NORTHAMERICAN_DESERTS,Wrockies,Idaho,2826,116,3.019999981,9267,3047,2662,385,2862,2945,2949,2709,2905,411,115,360,1051,402,538,697,20,-717,-1708,1727,36513,23854,13990,288,119,119,2002,2832,6171,5194,4156,2015,279,227,170,5090,18210,9524,2767,15443,28256,18116,7188,21068,109,3902,3536,3018,884,17494,7335,1935,15559,1470
147,Chambers9,40.66,-116.73,invaded,NORTHAMERICAN_DESERTS,Wrockies,Nevada,2844,125,3.029999971,9937,3062,2650,412,2835,2969,2975,2717,2621,373,60,417,925,263,297,808,66,-708,-1785,1851,42676,29224,18337,296,107,111,1665,2835,6181,4868,3619,2562,294,245,190,4633,18447,9202,2029,16418,28997,17856,6341,22656,96,3035,2519,2052,983,22214,9103,1999,20215,1484
148,Copeland1,43.7,-117.33,invaded,NORTHAMERICAN_DESERTS,Wrockies,Oregon,2841,111,2.930000067,9275,3053,2674,379,2837,2957,2962,2722,2740,359,95,364,885,321,460,822,99,-745,-1822,1920,41320,27754,16742,294,105,125,1829,2834,6036,4899,3835,2201,299,248,190,4825,19276,9615,2226,17050,28162,16781,5400,22762,91,3938,3404,3078,860,19767,8539,2158,17609,1084
149,Copeland5,42.27,-118.71,invaded,NORTHAMERICAN_DESERTS,Wrockies,Oregon,2830,119,3.180000067,8954,3041,2666,375,2728,2945,2948,2718,2293,287,57,379,762,243,302,713,-33,-810,-1823,1790,37267,24261,14181,290,117,109,1373,2821,6008,4994,3946,2062,289,233,174,4095,18789,9940,3022,15767,29211,18542,7244,21967,103,4076,3642,3146,930,18017,7710,2144,15873,1380
